ZZ, 000676, 25.0
ZY, 000675, 25.0
ZX, 000674, 25.0
ZW, 000673, 25.0
ZV, 000672, 25.0
ZU, 000671, 25.0
ZS, 000669, 25.0
ZR, 000668, 25.0
ZQ, 000667, 25.0
ZP, 000666, 25.0
ZO, 000665, 25.0
ZN, 000664, 25.0
ZM, 000663, 25.0
ZL, 000662, 25.0
ZK, 000661, 25.0
ZJ, 000660, 25.0
ZI, 000659, 25.0
ZH, 000658, 25.0
ZG, 000657, 25.0
ZF, 000656, 25.0
ZE, 000655, 25.0
ZD, 000654, 25.0
ZC, 000653, 25.0
ZB, 000652, 25.0
ZA, 000651, 25.0
YZ, 000650, 24.0
YY, 000649, 24.0
YX, 000648, 24.0
YW, 000647, 24.0
YV, 000646, 24.0
YU, 000645, 24.0
YT, 000644, 24.0
YS, 000643, 24.0
YR, 000642, 24.0
YQ, 000641, 24.0
YP, 000640, 24.0
YO, 000639, 24.0
YN, 000638, 24.0
YM, 000637, 24.0
YL, 000636, 24.0
YK, 000635, 24.0
YJ, 000634, 24.0
YI, 000633, 24.0
YH, 000632, 24.0
YG, 000631, 24.0
YF, 000630, 24.0
YE, 000629, 24.0
YD, 000628, 24.0
YC, 000627, 24.0
YB, 000626, 24.0
YA, 000625, 24.0
XZ, 000624, 23.0
XY, 000623, 23.0
XX, 000622, 23.0
XW, 000621, 23.0
XV, 000620, 23.0
XU, 000619, 23.0
XT, 000618, 23.0
XS, 000617, 23.0
XR, 000616, 23.0
XQ, 000615, 23.0
XP, 000614, 23.0
XO, 000613, 23.0
XN, 000612, 23.0
XM, 000611, 23.0
XL, 000610, 23.0
XK, 000609, 23.0
XJ, 000608, 23.0
XI, 000607, 23.0
XH, 000606, 23.0
XG, 000605, 23.0
XF, 000604, 23.0
XE, 000603, 23.0
XD, 000602, 23.0
XC, 000601, 23.0
XB, 000600, 23.0
XA, 000599, 23.0
WZ, 000598, 22.0
WY, 000597, 22.0
WX, 000596, 22.0
WW, 000595, 22.0
WV, 000594, 22.0
WU, 000593, 22.0
WT, 000592, 22.0
WS, 000591, 22.0
WR, 000590, 22.0
WQ, 000589, 22.0
WP, 000588, 22.0
WO, 000587, 22.0
WN, 000586, 22.0
WM, 000585, 22.0
WL, 000584, 22.0
WK, 000583, 22.0
WJ, 000582, 22.0
WI, 000581, 22.0
WH, 000580, 22.0
WG, 000579, 22.0
WF, 000578, 22.0
WE, 000577, 22.0
WD, 000576, 22.0
WC, 000575, 22.0
WB, 000574, 22.0
WA, 000573, 22.0
VZ, 000572, 21.0
VY, 000571, 21.0
VX, 000570, 21.0
VW, 000569, 21.0
VV, 000568, 21.0
VU, 000567, 21.0
VT, 000566, 21.0
VS, 000565, 21.0
VR, 000564, 21.0
VQ, 000563, 21.0
VP, 000562, 21.0
VO, 000561, 21.0
VN, 000560, 21.0
VM, 000559, 21.0
VL, 000558, 21.0
VK, 000557, 21.0
VJ, 000556, 21.0
VI, 000555, 21.0
VH, 000554, 21.0
VG, 000553, 21.0
VF, 000552, 21.0
VE, 000551, 21.0
VD, 000550, 21.0
VC, 000549, 21.0
VB, 000548, 21.0
VA, 000547, 21.0
UZ, 000546, 20.0
UY, 000545, 20.0
UX, 000544, 20.0
UW, 000543, 20.0
UV, 000542, 20.0
UU, 000541, 20.0
UT, 000540, 20.0
US, 000539, 20.0
UR, 000538, 20.0
UQ, 000537, 20.0
UP, 000536, 20.0
UO, 000535, 20.0
UN, 000534, 20.0
UM, 000533, 20.0
UL, 000532, 20.0
UK, 000531, 20.0
UJ, 000530, 20.0
UI, 000529, 20.0
UH, 000528, 20.0
UG, 000527, 20.0
UF, 000526, 20.0
UE, 000525, 20.0
UD, 000524, 20.0
UC, 000523, 20.0
UB, 000522, 20.0
UA, 000521, 20.0
TZ, 000520, 19.0
TY, 000519, 19.0
TX, 000518, 19.0
TW, 000517, 19.0
TV, 000516, 19.0
TU, 000515, 19.0
TT, 000514, 19.0
TS, 000513, 19.0
TR, 000512, 19.0
TQ, 000511, 19.0
TP, 000510, 19.0
TO, 000509, 19.0
TN, 000508, 19.0
TM, 000507, 19.0
TL, 000506, 19.0
TK, 000505, 19.0
TJ, 000504, 19.0
TI, 000503, 19.0
TH, 000502, 19.0
TG, 000501, 19.0
TF, 000500, 19.0
TE, 000499, 19.0
TD, 000498, 19.0
TC, 000497, 19.0
TB, 000496, 19.0
TA, 000495, 19.0
SZ, 000494, 18.0
SY, 000493, 18.0
SX, 000492, 18.0
SW, 000491, 18.0
SV, 000490, 18.0
SU, 000489, 18.0
ST, 000488, 18.0
SS, 000487, 18.0
SR, 000486, 18.0
SQ, 000485, 18.0
SP, 000484, 18.0
SO, 000483, 18.0
SN, 000482, 18.0
SM, 000481, 18.0
SL, 000480, 18.0
SK, 000479, 18.0
SJ, 000478, 18.0
SI, 000477, 18.0
SH, 000476, 18.0
SG, 000475, 18.0
SF, 000474, 18.0
SE, 000473, 18.0
SD, 000472, 18.0
SC, 000471, 18.0
SB, 000470, 18.0
SA, 000469, 18.0
RZ, 000468, 17.0
RY, 000467, 17.0
RX, 000466, 17.0
RW, 000465, 17.0
RV, 000464, 17.0
RU, 000463, 17.0
RT, 000462, 17.0
RS, 000461, 17.0
RR, 000460, 17.0
RQ, 000459, 17.0
RP, 000458, 17.0
RO, 000457, 17.0
RN, 000456, 17.0
RM, 000455, 17.0
RL, 000454, 17.0
RK, 000453, 17.0
RJ, 000452, 17.0
RI, 000451, 17.0
RH, 000450, 17.0
RG, 000449, 17.0
RF, 000448, 17.0
RE, 000447, 17.0
RD, 000446, 17.0
RC, 000445, 17.0
RB, 000444, 17.0
RA, 000443, 17.0
QZ, 000442, 16.0
QY, 000441, 16.0
QX, 000440, 16.0
QW, 000439, 16.0
QV, 000438, 16.0
QU, 000437, 16.0
QT, 000436, 16.0
QS, 000435, 16.0
QR, 000434, 16.0
QQ, 000433, 16.0
QP, 000432, 16.0
QO, 000431, 16.0
QN, 000430, 16.0
QM, 000429, 16.0
QL, 000428, 16.0
QK, 000427, 16.0
QJ, 000426, 16.0
QI, 000425, 16.0
QH, 000424, 16.0
QG, 000423, 16.0
QF, 000422, 16.0
QE, 000421, 16.0
QD, 000420, 16.0
QC, 000419, 16.0
QB, 000418, 16.0
QA, 000417, 16.0
PZ, 000416, 15.0
PY, 000415, 15.0
PX, 000414, 15.0
PW, 000413, 15.0
PV, 000412, 15.0
PU, 000411, 15.0
PT, 000410, 15.0
PS, 000409, 15.0
PR, 000408, 15.0
PQ, 000407, 15.0
PP, 000406, 15.0
PO, 000405, 15.0
PN, 000404, 15.0
PM, 000403, 15.0
PL, 000402, 15.0
PK, 000401, 15.0
PJ, 000400, 15.0
PI, 000399, 15.0
PH, 000398, 15.0
PG, 000397, 15.0
PF, 000396, 15.0
PE, 000395, 15.0
PD, 000394, 15.0
PC, 000393, 15.0
PB, 000392, 15.0
PA, 000391, 15.0
OZ, 000390, 14.0
OY, 000389, 14.0
OX, 000388, 14.0
OW, 000387, 14.0
OV, 000386, 14.0
OU, 000385, 14.0
OT, 000384, 14.0
OS, 000383, 14.0
OR, 000382, 14.0
OQ, 000381, 14.0
OP, 000380, 14.0
OO, 000379, 14.0
ON, 000378, 14.0
OM, 000377, 14.0
OL, 000376, 14.0
OK, 000375, 14.0
OJ, 000374, 14.0
OI, 000373, 14.0
OH, 000372, 14.0
OG, 000371, 14.0
OF, 000370, 14.0
OE, 000369, 14.0
OD, 000368, 14.0
OC, 000367, 14.0
OB, 000366, 14.0
OA, 000365, 14.0
NZ, 000364, 13.0
NY, 000363, 13.0
NX, 000362, 13.0
NW, 000361, 13.0
NV, 000360, 13.0
NU, 000359, 13.0
NT, 000358, 13.0
NS, 000357, 13.0
NR, 000356, 13.0
NQ, 000355, 13.0
NP, 000354, 13.0
NO, 000353, 13.0
NN, 000352, 13.0
NM, 000351, 13.0
NL, 000350, 13.0
NK, 000349, 13.0
NJ, 000348, 13.0
NI, 000347, 13.0
NH, 000346, 13.0
NG, 000345, 13.0
NF, 000344, 13.0
NE, 000343, 13.0
ND, 000342, 13.0
NC, 000341, 13.0
NB, 000340, 13.0
NA, 000339, 13.0
MZ, 000338, 12.0
MY, 000337, 12.0
MX, 000336, 12.0
MW, 000335, 12.0
MV, 000334, 12.0
MU, 000333, 12.0
MT, 000332, 12.0
MS, 000331, 12.0
MR, 000330, 12.0
MQ, 000329, 12.0
MP, 000328, 12.0
MO, 000327, 12.0
MN, 000326, 12.0
MM, 000325, 12.0
ML, 000324, 12.0
MK, 000323, 12.0
MJ, 000322, 12.0
MI, 000321, 12.0
MH, 000320, 12.0
MG, 000319, 12.0
MF, 000318, 12.0
ME, 000317, 12.0
MD, 000316, 12.0
MC, 000315, 12.0
MB, 000314, 12.0
MA, 000313, 12.0
LZ, 000312, 11.0
LY, 000311, 11.0
LX, 000310, 11.0
LW, 000309, 11.0
LV, 000308, 11.0
LU, 000307, 11.0
LT, 000306, 11.0
LS, 000305, 11.0
LR, 000304, 11.0
LQ, 000303, 11.0
LP, 000302, 11.0
LO, 000301, 11.0
LN, 000300, 11.0
LM, 000299, 11.0
LL, 000298, 11.0
LK, 000297, 11.0
LJ, 000296, 11.0
LI, 000295, 11.0
LH, 000294, 11.0
LG, 000293, 11.0
LF, 000292, 11.0
LE, 000291, 11.0
LD, 000290, 11.0
LC, 000289, 11.0
LB, 000288, 11.0
LA, 000287, 11.0
KZ, 000286, 10.0
KY, 000285, 10.0
KX, 000284, 10.0
KW, 000283, 10.0
KV, 000282, 10.0
KU, 000281, 10.0
KT, 000280, 10.0
KS, 000279, 10.0
KR, 000278, 10.0
KQ, 000277, 10.0
KP, 000276, 10.0
KO, 000275, 10.0
KN, 000274, 10.0
KM, 000273, 10.0
